file,original pragma version,compiled version,notes
L1ChugSplashProxy.sol,>0.5.0 <0.8.0,0.5.0,
SafeERC20_1.sol,^0.8.0,0.8.0,
Ownable.sol,>=0.6.0 <0.8.0,0.6.0,
Context_1.sol,>=0.6.0 <0.8.0,0.6.0,
iOVM_ChainStorageContainer.sol,>0.5.0 <0.8.0,0.5.0,
draft-IERC20Permit.sol,^0.8.0,0.8.0,
Lib_Bytes32Utils.sol,>0.5.0 <0.8.0,0.5.0,
Burn_1.sol,0.8.15,0.8.15,
SafeERC20.sol,^0.8.0,0.8.0,
Lib_BytesUtils.sol,>0.5.0 <0.8.0,0.5.0,
Lib_SecureMerkleTrie.sol,^0.8.9,0.8.9,
Lib_BytesUtils_4.sol,^0.8.9,0.8.9,
Context_3.sol,^0.8.0,0.8.0,
iOVM_L1MultiMessageRelayer.sol,>0.5.0 <0.8.0,0.5.0,
Context_2.sol,>=0.6.0 <0.8.0,0.6.0,
IOptimismMintableERC20.sol,^0.8.0,0.8.0,
CrossDomainEnabled.sol,>0.5.0 <0.9.0,0.5.0,
SafeMath.sol,>=0.6.0 <0.8.0,0.6.0,
ResourceMetering_1.sol,0.8.15,0.8.15,
SignedMath.sol,^0.8.0,0.8.0,
OwnableUpgradeable_1.sol,^0.8.0,0.8.0,
iOVM_ChainStorageContainer_1.sol,>0.5.0 <0.8.0,0.5.0,
L1CrossDomainMessenger_1.sol,^0.8.9,0.8.9,
OVM_CanonicalTransactionChain.sol,>0.5.0 <0.8.0,0.5.0,
Address.sol,^0.8.1,0.8.1,
iOVM_CanonicalTransactionChain.sol,>0.5.0 <0.8.0,0.5.0,
OwnableUpgradeable.sol,^0.8.0,0.8.0,
Lib_BytesUtils_1.sol,>0.5.0 <0.8.0,0.5.0,
Lib_DefaultValues.sol,^0.8.9,0.8.9,
PausableUpgradeable.sol,^0.8.0,0.8.0,
Context_6.sol,^0.8.0,0.8.0,
Lib_AddressResolver.sol,>0.5.0 <0.8.0,0.5.0,
Arithmetic.sol,0.8.15,0.8.15,
iOVM_CrossDomainMessenger_1.sol,>0.5.0 <0.8.0,0.5.0,
Lib_EthUtils.sol,>0.5.0 <0.8.0,0.5.0,
Lib_MerkleTree_1.sol,>0.5.0 <0.8.0,0.5.0,
ContextUpgradeable.sol,^0.8.0,0.8.0,
Lib_BytesUtils_2.sol,^0.8.9,0.8.9,
Context_5.sol,^0.8.0,0.8.0,
FixedPointMathLib.sol,>=0.8.0,0.8.0,
SafeCall.sol,0.8.15,0.8.15,
ReentrancyGuardUpgradeable.sol,^0.8.0,0.8.0,
Lib_CrossDomainUtils.sol,^0.8.9,0.8.9,
AddressUpgradeable_1.sol,^0.8.1,0.8.1,
Context_4.sol,>=0.6.0 <0.8.0,0.6.0,
Lib_BytesUtils_3.sol,>0.5.0 <0.8.0,0.5.0,
Predeploys_1.sol,^0.8.0,0.8.0,
ERC165Checker.sol,^0.8.0,0.8.0,
Lib_PredeployAddresses_1.sol,^0.8.9,0.8.9,
SignedMath_1.sol,^0.8.0,0.8.0,
CanonicalTransactionChain.sol,^0.8.9,0.8.9,
iOVM_L1CrossDomainMessenger.sol,>0.5.0 <0.8.0,0.5.0,
Bytes.sol,^0.8.0,0.8.0,
IL2ERC20Bridge.sol,^0.8.9,0.8.9,
Lib_PredeployAddresses_2.sol,^0.8.9,0.8.9,
L1StandardBridge.sol,0.8.15,0.8.15,
Lib_RLPReader.sol,>0.5.0 <0.8.0,0.5.0,
AddressAliasHelper.sol,^0.8.0,0.8.0,
SecureMerkleTrie.sol,^0.8.0,0.8.0,
IERC20Metadata.sol,^0.8.0,0.8.0,
Lib_OVMCodec.sol,>0.5.0 <0.8.0,0.5.0,
iOVM_CrossDomainMessenger.sol,>0.5.0 <0.8.0,0.5.0,
FixedPointMathLib_1.sol,>=0.8.0,0.8.0,
Semver_1.sol,^0.8.0,0.8.0,
iOVM_StateCommitmentChain.sol,>0.5.0 <0.8.0,0.5.0,
iOVM_StateTransitioner.sol,>0.5.0 <0.8.0,0.5.0,
Constants.sol,^0.8.0,0.8.0,
iOVM_SafetyChecker.sol,>0.5.0 <0.8.0,0.5.0,
Predeploys.sol,^0.8.0,0.8.0,
Context.sol,^0.8.0,0.8.0,
Math.sol,^0.8.0,0.8.0,
SafeCall_1.sol,0.8.15,0.8.15,
Strings.sol,^0.8.0,0.8.0,
OVM_DeployerWhitelist.sol,>0.5.0 <0.8.0,0.5.0,
OptimismPortal.sol,0.8.15,0.8.15,
RLPWriter_1.sol,^0.8.0,0.8.0,
iOVM_L2ERC20Bridge.sol,>0.5.0,0.5.0,
ICanonicalTransactionChain.sol,>0.5.0 <0.9.0,0.5.0,
StandardBridge.sol,0.8.15,0.8.15,
Arithmetic_1.sol,0.8.15,0.8.15,
iOVM_BondManager.sol,>0.5.0 <0.8.0,0.5.0,
Lib_RLPWriter.sol,>0.5.0 <0.8.0,0.5.0,
Lib_AddressManager_4.sol,^0.8.9,0.8.9,
Lib_Bytes32Utils_1.sol,>0.5.0 <0.8.0,0.5.0,
Lib_MerkleTree.sol,>0.5.0 <0.8.0,0.5.0,
Ownable_3.sol,>=0.6.0 <0.8.0,0.6.0,
Ownable_2.sol,^0.8.0,0.8.0,
Lib_PredeployAddresses.sol,>0.5.0 <0.8.0,0.5.0,
iL1ChugSplashDeployer.sol,>0.5.0 <0.8.0,0.5.0,
IL1CrossDomainMessenger.sol,^0.8.9,0.8.9,
Semver.sol,^0.8.0,0.8.0,
TeleportrDeposit.sol,>=0.8.9,0.8.9,
Math_2.sol,>=0.6.0 <0.8.0,0.6.0,
Lib_Bytes32Utils_2.sol,^0.8.9,0.8.9,
Lib_MerkleTrie.sol,^0.8.9,0.8.9,
Ownable_1.sol,>=0.6.0 <0.8.0,0.6.0,
Lib_RLPWriter_4.sol,^0.8.9,0.8.9,
OptimismMintableERC20.sol,0.8.15,0.8.15,
Constants_1.sol,^0.8.0,0.8.0,
MerkleTrie.sol,^0.8.0,0.8.0,
Lib_Bytes32Utils_3.sol,>0.5.0 <0.8.0,0.5.0,
Burn.sol,0.8.15,0.8.15,
Strings_1.sol,^0.8.0,0.8.0,
Lib_OVMCodec_4.sol,^0.8.9,0.8.9,
IL1ERC20Bridge.sol,>0.5.0 <0.9.0,0.5.0,
ICanonicalTransactionChain_1.sol,>0.5.0 <0.9.0,0.5.0,
Math_1.sol,^0.8.0,0.8.0,
Initializable_1.sol,^0.8.2,0.8.2,
Lib_AddressManager_2.sol,^0.8.9,0.8.9,
Types.sol,^0.8.0,0.8.0,
Ownable_5.sol,^0.8.0,0.8.0,
Lib_RLPWriter_1.sol,>0.5.0 <0.8.0,0.5.0,
Ownable_4.sol,^0.8.0,0.8.0,
ContextUpgradeable_1.sol,^0.8.0,0.8.0,
Address_1.sol,^0.8.1,0.8.1,
OVM_StateCommitmentChain.sol,>0.5.0 <0.8.0,0.5.0,
Lib_AddressManager_3.sol,>0.5.0 <0.8.0,0.5.0,
IERC165.sol,^0.8.0,0.8.0,
AddressUpgradeable.sol,^0.8.1,0.8.1,
Lib_OVMCodec_1.sol,>0.5.0 <0.8.0,0.5.0,
L1CrossDomainMessenger.sol,0.8.15,0.8.15,
Initializable_2.sol,^0.8.0,0.8.0,
iOVM_L1ERC20Bridge.sol,>0.5.0,0.5.0,
Lib_OVMCodec_3.sol,>0.5.0 <0.8.0,0.5.0,
Lib_AddressManager_1.sol,>0.5.0 <0.8.0,0.5.0,
IERC20_1.sol,^0.8.0,0.8.0,
Address_3.sol,>=0.6.2 <0.8.0,0.6.2,
Lib_Bytes32Utils_4.sol,^0.8.9,0.8.9,
Lib_RLPWriter_3.sol,>0.5.0 <0.8.0,0.5.0,
Lib_RLPWriter_2.sol,^0.8.9,0.8.9,
Encoding_1.sol,^0.8.0,0.8.0,
Address_2.sol,^0.8.0,0.8.0,
Lib_OVMCodec_2.sol,^0.8.9,0.8.9,
